"Template";1;2;3;4;5;6;7;8;9;10
"~elementalItemelement~";"acid damage";1;"Sour Candy";"Sazskralex";"Adder’s kiss";"Caustic";"Acidic";"Lemon";"Oxidation";
"~elementalItemelement~";"acid damge. Those who fail their save gain 50% less healing until the beginning of your next turn.";3;"Double Lemon";"pH -5";"Alien’s blood";"Corrosive";"Bitter";"Acid";"Corrosion";
"~elementalItemelement~";"lightning damage";1.3;"The Kraken";"``Earth’’";"AC/DC";"Voltaic";"Galvanic";"Sparks";"Sparks";
"~elementalItemelement~";"sonic damage";1;"Five note Operetic";"117 dB";"Boomstick";"Thundering";"Thor’s";"sound";"Noise";
"~elementalItemelement~";"sonic damage. Those who fail their save are deafened for 1d4 rounds.";1.2;"The Banshee";"Deep Purple";"Crescendo";"Screaming";"Deafening";"Cacophany";"DeciBells";
"~elementalItemelement~";"ice damage. Those who fail their save move at half speed on their next turn.";1.8;"Heat Death";"Penguinator";"Zero K";"Arctic";"Sub-Zero";"Cold";"Hypothermia";
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemUses~";"Can be used up to once per day.";5;;;;;;;;
"~elementalItemUses~";"This item is single use.";0.5;;;;;;;;
"~elementalItemUses~";"This item can be used up to three times. On hour cool down between uses.";1;;;;;;;;
"~elementalItemUses~";"This item can be used up to three times. On ten minute cool down between uses.";1.5;;;;;;;;
"~elementalItemUses~";"This item can be used up to three times. No cool down between uses required.";3;;;;;;;;
"~elementalItemUses~";"Unlimited uses, three hour cooldown time.";10;;;;;;;;
"~elementalItemUses~";"Unlimited uses, one hour cooldown time.";20;;;;;;;;
"~elementalItemUses~";"Each time you use this item, roll a d10. On a one, the item is destroyed, and you take the damage rather than your targets.";1;;;;;;;;
"~elementalItemUses~";"Each time you use this item, roll a d10. On a one, the item is broken, and you take the damage rather than your targets. (DC 35 craft and engineering checks to repair afterwards)";2;;;;;;;;
"~elementalItemUses~";"Each time you use this item, roll a d20. On a one, the item is destroyed, and you take the damage rather than your targets.";2;;;;;;;;
"~elementalItemUses~";"Each time you use this item, roll a d10. On a one, the item is destroyed, and has no effect.";3;;;;;;;;
"~elementalItemUses~";"Each time you use this item, roll a d20. On a one, the item is destroyed, and has no effect.";6;;;;;;;;
"~elementalItemUses~";"Unlimited uses, ten minute cooldown time.";65;;;;;;;;
"~elementalItemUses~";"Unlimited uses, 3 round cooldown time.";120;;;;;;;;
"~elementalItemUses~";"Unlimited uses, one round cooldown time.";400;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemSave~";"DC 10 reflex to avoid damage";1;;;;;;;;
"~elementalItemSave~";"DC 15 reflex to avoid damage";2;;;;;;;;
"~elementalItemSave~";"DC 20 reflex to avoid damage";4;;;;;;;;
"~elementalItemSave~";"DC 25 reflex to avoid damage";6;;;;;;;;
"~elementalItemSave~";"DC 10 reflex for half damage";2.5;;;;;;;;
"~elementalItemSave~";"DC 15 reflex for half damage.";5;;;;;;;;
"~elementalItemSave~";"DC 20 reflex for half damage";10;;;;;;;;
"~elementalItemSave~";"DC 25 reflex for half damage.";15;;;;;;;;
"~elementalItemSave~";"DC 35 reflex for half damage.";35;;;;;;;;
"~elementalItemSave~";"DC 90 reflex for half damage.";50;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemName~";"~elementalItemelement~3";;;;;;;;;
"~elementalItemName~";"~elementalItemelement~4";;;;;;;;;
"~elementalItemName~";"~elementalItemelement~5";;;;;;;;;
"~elementalItemName~";"~elementalItemelement~6 ~elementalItemArea~4";;;;;;;;;
"~elementalItemName~";"~elementalItemelement~7 ~elementalItemArea~4";;;;;;;;;
"~elementalItemName~";"~elementalItemArea~3 ~elementalItemelement~8";;;;;;;;;
"~elementalItemName~";"~elementalItemArea~3 ~elementalItemelement~9";;;;;;;;;
"~elementalItemName~";"~elementalItemArea~5";;;;;;;;;
