Template;1;2;3;4;5;6;7;8;9;10
~PostReassureFactory~;May need to evict previous tenants;1;;;;;;;;
~PostReassureFactory~;Mostly harmless.;1;;;;;;;;
~PostReassureFactory~;Homunculi calvacade ongoing, but should finish soon.;1;;;;;;;;
~PostReassureFactory~;Certainly not radioactive.;1;;;;;;;;
~PostReassureFactory~;Locals friendly.;1;;;;;;;;
~PostReassureFactory~;Blood type B+ preferable.;1;;;;;;;;
~PostReassureFactory~;Non Euclidian geometry.;1;;;;;;;;
~PostReassureFactory~;Radiation levels minimal;1;;;;;;;;
~PostReassureFactory~;Slightly Overgrown.;1;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~RealEstateHouse~;house;2;;;;;;;;
~RealEstateHouse~;apartment;1;;;;;;;;
~RealEstateHouse~;studio flat;1;;;;;;;;
~RealEstateHouse~;penthouse;5;;;;;;;;
~RealEstateHouse~;gallery;5;;;;;;;;
~RealEstateHouse~;workshop.;3;;;;;;;;
~RealEstateHouse~;suite;2;;;;;;;;
~RealEstateHouse~;storefront;4;;;;;;;;
~RealEstateHouse~;storagespace;1;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 ~RealEstateHouseLocation~;in downtown Embassy;12;;;;;;;;
 ~RealEstateHouseLocation~;in uptown Landing;14;;;;;;;;
 ~RealEstateHouseLocation~;on the outskirts of Embassy;3;;;;;;;;
 ~RealEstateHouseLocation~;In district nine of Landing.;1;;;;;;;;
 ~RealEstateHouseLocation~;in the nexes district of Anchorage;1.8;;;;;;;;
 ~RealEstateHouseLocation~;in Ballast stations third ring.;1;;;;;;;;
 ~RealEstateHouseLocation~;In Rustpoint;0.5;;;;;;;;
 ~RealEstateHouseLocation~;in homely town of Varianion.;1;;;;;;;;
 ~RealEstateHouseLocation~;in Scientific community of Quam;1.3;;;;;;;;
 ~RealEstateHouseLocation~;on a dormant volcano;1;;;;;;;;
 ~RealEstateHouseLocation~;one kilometer offshore from Serasan;1;;;;;;;;
 ~RealEstateHouseLocation~;on the moon.;1;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 ~PostReassureHouse~;May need to evict previous tenants;1;;;;;;;;
 ~PostReassureHouse~;Friendly neighbours.;1;;;;;;;;
 ~PostReassureHouse~;Seller needs money for legal council.;1;;;;;;;;
 ~PostReassureHouse~;kjlfsajoiewc.;1;;;;;;;;
 ~PostReassureHouse~;Comfortable, non-murderous furniture.;1;;;;;;;;
 ~PostReassureHouse~;Averse to the colour yellow.;1;;;;;;;;
 ~PostReassureHouse~;Pets allowed, but must be resistant to corrosion.;1;;;;;;;;
 ~PostReassureHouse~;Entirely soundproofed.;1;;;;;;;;
;;;;;;;;;;
~RealEstateShip~;Poseiden class submarine.;1;;;;;;;;
~RealEstateShip~;Circumfrence Jump Ship.;1;;;;;;;;
~RealEstateShip~;0012 Interplanetary feighter.;1;;;;;;;;
~RealEstateShip~;Firefly class transport ship;2;;;;;;;;
~RealEstateShip~;Dortmunder gunship;1;;;;;;;;
~RealEstateShip~;Sonshun Recreational transport blimp.;1;;;;;;;;
~RealEstateShip~;Colony ship.;500;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~PostReassureShip~;Last seen on way past Leviathan.;1;;;;;;;;
~PostReassureShip~;Probably not sentient.;1;;;;;;;;
~PostReassureShip~;Currently stored in dagaba swamp.;1;;;;;;;;
~PostReassureShip~;Hull replating required.;1;;;;;;;;
~PostReassureShip~;Skilled mechanic a must.;1;;;;;;;;
~PostReassureShip~;May need new paint job.;1;;;;;;;;
~PostReassureShip~;I will pay you to take this ship from me.;-0.1;;;;;;;;
