"Template";1;2;3;4;5;6;7;8;9;10
"~RopeLength~";"100 meters";100;;;;;;;;
;;;;;;;;;;
"~RopeQuality~";"standard synthetic rope. Resistant to water and rot, but liable to melt";1;;;;;;;;
"~RopeQuality~";"hemp rope. Prone to rot and water absorbtion, but fairly hard to burn or melt";1;;;;;;;;
"~RopeQuality~";"silk rope. Extremely lightweight, and relatively fire resistant.";3;;;;;;;;
"~RopeQuality~";"steelhair coil. Slashproof, fire resistant, liable to rust if left outside for too long";3;;;;;;;;
"~RopeQuality~";"deadline. Used in ship construction. Unbelievably light and strong- almost invisible from a distance, and proof against fire, ice, acid and radiation. Just... don't hold on to it if someone yanks on it.";10;;;;;;;;
"~RopeQuality~";"standard synthetic rope. Resistant to water and rot, but liable to melt";1;;;;;;;;
"~RopeQuality~";"hemp rope. Prone to rot and water absorbtion, but fairly hard to burn or melt";1;;;;;;;;
"~RopeQuality~";"standard synthetic rope. Resistant to water and rot, but liable to melt";1;;;;;;;;
"~RopeQuality~";"hemp rope. Prone to rot and water absorbtion, but fairly hard to burn or melt";1;;;;;;;;
"~RopeQuality~";"silk rope. Extremely lightweight, and relatively fire resistant.";3;;;;;;;;
"~RopeQuality~";"steelhair coil. Slashproof, fire resistant, liable to rust if left outside for too long";3;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~BasicKit~";"~KitUses~2 ~KitPower~2 | ~KitType~6*~KitPower~5*~KitUses~5 | Gain a ~KitPower~1 bonus on ~KitType~8. ~KitUses~1";;;;;;;;;
;;;;;;;;;;
;"Weak";"Moderate";"Strong";"Extreme";;"Price";;"Effect";;
"~KitType~";"First aid kit";"Medic's satchel";"Doctors tools";"Surgeon's instruments";;8;;"Medical checks made to heal a biological character.";;
"~KitType~";"Solder and Ballbearings";"Repair kit";"Mechanics supplies";"Engineers toolbox";;8;;"Engineering checks made to fix a robotic character, space ship, or a piece of equipment.";;
"~KitType~";"Safety pins";"lockpicks";"Theives tools";"Blackwebs keychain";;8;;"Dexterity and engineering checks made to disable mechanical locks and traps.";;
"~KitType~";"First aid kit";"Medic's satchel";"Doctors tools";"Surgeon's instruments";;8;;"Medical checks made to heal a biological character.";;
"~KitType~";"Solder and Ballbearings";"Repair kit";"Mechanics supplies";"Engineers toolbox";;8;;"Engineering checks made to fix a robotic character, space ship, or a piece of equipment.";;
"~KitType~";"Safety pins";"lockpicks";"Theives tools";"Blackwebs keychain";;8;;"Dexterity and engineering checks made to disable mechanical locks and traps.";;
"~KitType~";"Face paint";"Make up bag";"Actors powder";"Liquid Face putty";;4;;"Craft and associated skill checks made to change your apperance.";;
"~KitType~";"Spices";"Cook’s condiments";"Chef’s seasonings";"Grandma’s herb chest";;1;;"Craft checks made to cook a delicious meal.";;
"~KitType~";"Stationary set";"Fancy Paper";"Diplomat’s cardstock";"Linaya’s Letterhead";;3;;"Craft checks associated with composing a fine letter (the social checks you’ll need to make by yourself)";;
"~KitType~";"Crewmate’s kit";"Sailor’s supplies";"Navigator’s seachest";"Mariner’s gear";;6;;"Survival checks associated with nautical activities.";;
"~KitType~";"Ammonia Powder";"Blood and Bone Fertilizer";"Earthsoil";"Florist’s sundrop";;8;;"Gardening checks.";;
"~KitType~";"Plastic Candies";"Homunculi Trinket";"Cavalcade Souviner";"Zuk-Zuk’s Medalion";;25;;"Intuition checks";;
;;;;;;;;;;
"~KitUses~";"3 uses.";"2nd hand";;;0.6;;;;;
"~KitUses~";"5 uses";;;;1;;;;;
"~KitUses~";"10 uses";;;;2;;;;;
"~KitUses~";"25 uses";"Bulky";;;4;;;;;
"~KitUses~";"unlimited uses";"Bottomless";;;50;;;;;
"~KitUses~";"3 uses.";"Back up";;;0.4;;;;;
"~KitUses~";"5 uses";"Standard";;;1;;;;;
"~KitUses~";"10 uses";;;;2;;;;;
"~KitUses~";"25 uses";;;;4;;;;;
"~KitUses~";"9001 uses";"eternal";;;50;;;;;
"~KitUses~";"5 uses";;;;1;;;;;
"~KitPower~";"+1";"~KitType~1";;;1;;;;;
"~KitPower~";"+2";"~KitType~1";;;2;;;;;
"~KitPower~";"+2";"~KitType~2";;;2;;;;;
"~KitPower~";"+3";"~KitType~2";;;5;;;;;
"~KitPower~";"+4";"~KitType~3";;;7;;;;;
"~KitPower~";"+5";"~KitType~3";;;12;;;;;
"~KitPower~";"+8";"~KitType~4";;;20;;;;;
;;;;;;;;;;
"~UniqueBasic~";"Grimer's grease | 15 | Single use. Expend to decrease the numeric value of a scrap card by 1. Max one augmentation per gadget";;;;;;;;;
"~UniqueBasic~";"Soldering Jar | 15 | Single use. Expend to increase the numeric value of a scrap card by 1. Max one augmentation per gadget";;;;;;;;;
"~UniqueBasic~";"Loaded Dice| 50 | Comes up ~DiceNumber~ ~DicePower~  of the time.";;;;;;;;;
"~UniqueBasic~";"Flare. | 20 | A blinding bright light, lasts for around a minute once lit.";;;;;;;;;
"~UniqueBasic~";"Breathing filtration. | 10 |  Filters gaseous poisons from the air for up to 5 minutes before getting clogged. +15 on saving throws vs such poisons.";;;;;;;;;
"~UniqueBasic~";"Black-Light Torch|50| Illuminates Blacklight paint";;;;;;;;;
"~UniqueBasic~";"Black-Light Paint| 30 | Invisible paint, visible only under black light.";;;;;;;;;
"~UniqueBasic~";"Fireseeds| 150 | Once planted, will grow into highly flamable shrubs over the course of a two-five years. A highly invasive species.";;;;;;;;;
"~UniqueBasic~";"~SnowglobeColour~ Snowglobe | 140 | Collectable!";;;;;;;;;
"~UniqueBasic~";"Mirror |15 | A small reflective surface";;;;;;;;;
"~UniqueBasic~";"Chalk | 5 | Good for marking surfaces";;;;;;;;;
"~UniqueBasic~";"Compass | 25 | Calibrated to the planet of your choice- +3 on survival checks to navigate while on that planet.";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~DiceNumber~";1;;;;;;;;;
"~DiceNumber~";2;;;;;;;;;
"~DiceNumber~";3;;;;;;;;;
"~DiceNumber~";4;;;;;;;;;
"~DiceNumber~";5;;;;;;;;;
"~DiceNumber~";6;;;;;;;;;
;;;;;;;;;;
"~DicePower~";50.00%;;;;;;;;;
"~DicePower~";30.00%;;;;;;;;;
"~DicePower~";80.00%;;;;;;;;;
"~DicePower~";95.00%;;;;;;;;;
;;;;;;;;;;
"~SnowglobeColour~";"Azure";;;;;;;;;
"~SnowglobeColour~";"Crimson";;;;;;;;;
"~SnowglobeColour~";"Amber";;;;;;;;;
"~SnowglobeColour~";"Turquiose";;;;;;;;;
"~SnowglobeColour~";"Ebony";;;;;;;;;
"~SnowglobeColour~";"Violet";;;;;;;;;
"~SnowglobeColour~";"Viridion";;;;;;;;;
"~SnowglobeColour~";"Ivory";;;;;;;;;
"~SnowglobeColour~";"Magenta";;;;;;;;;
"~SnowglobeColour~";"Claret";;;;;;;;;
"~SnowglobeColour~";"Rose";;;;;;;;;
"~SnowglobeColour~";"Lavender";;;;;;;;;
"~SnowglobeColour~";"Smoke dappled";;;;;;;;;
"~SnowglobeColour~";"Mahogany";;;;;;;;;
"~SnowglobeColour~";"Ashen";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~DiceNumber~";5;;;;;;;;;
"~DiceNumber~";11;;;;;;;;;
"~DiceNumber~";7;;;;;;;;;
"~DiceNumber~";3;;;;;;;;;
"~DiceNumber~";9;;;;;;;;;
"~DicePower~";90.00%;;;;;;;;;
"~DicePower~";50.00%;;;;;;;;;
"~DicePower~";30.00%;;;;;;;;;
"~DicePower~";70.00%;;;;;;;;;
