Template;1;2;3;4;5;6;7;8;9;10
~QQDetHeroAction~;loses her family to;must collect allies and evidence;completing a thousand year of ritual;;;;;;;
~QQDetHeroAction~;is corrupted by;returns to the written page;recreating the old Gods.;;;;;;;
~QQDetHeroAction~;must withstand the attacks of;Must rely on ~DetHeroName~3 silver tounge ;getting their hands on ~DetItem~1.;;;;;;;
;;;;;;;;;;
~DetBlurb~;A ~QQDetHeroDescribe~1 ~QQDetHero~1 ~QQDetHeroAction~1 a ~QQDetHeroDescribe~2 ~QQDetHero~2, ~DetPostBlurb~1;;;;;;;;;
~DetBlurb~;A ~QQDetHeroDescribe~2 ~QQDetHero~1.  A ~QQDetHeroDescribe~1 ~QQDetHero~2. ~DetItem~1. ~DetPostBlurb~2;;;;;;;;;
~DetBlurb~;~DetPreBlurb~1 ~DetHeroName~1 ~QQDetHeroAction~2 in order to prevent a ~QQDetHeroDescribe~2 ~QQDetHero~2 from ~QQDetHeroAction~3.;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;Detective
;;;;;;;;;;
~DetPreBlurb~;After years of retirement;;;;;;;;;
~DetPreBlurb~;In ~RandDetAuthor~'s latest installment ;;;;;;;;;
~DetPreBlurb~;Still suffering from recent injuries;;;;;;;;;
~DetPreBlurb~;Once again ;;;;;;;;;
~DetPostBlurb~;in  this frantic game of cat and mouse;All will collide in this chilling tale of trust and betrayel.;;;;;;;;
~DetPostBlurb~;against the backdrop of a darkened city;Three short stories by the master of mystery fiction.;;;;;;;;
~DetPostBlurb~;in this explosive mystery thriller.;Each unaware of the other, but inextricably tied by events long since forgotten. Events that will soon come to light.;;;;;;;;
~DetPostBlurb~;in this sharp and witty tale of betrayel and intrigue.;A chance encounter that could shape the future of three cities, for years to come.;;;;;;;;
~DetPostBlurb~;. They die five days later.;Eight bodies, no suspects, and a stange substance in the morning coffee;;;;;;;;
~DetPostBlurb~;, desperately unravelling secrets that have laid buried for generations.;No holds barred;;;;;;;;
~DetPostBlurb~;in a race to answer that unrelenting question: Where is The ~DetectiveTitle~?;A book you won't put down.;;;;;;;;
;;;;;;;;;;
~DetItem~;The minstrels glove;;;;;;;;;
~DetItem~;A ticking timebomb;;;;;;;;;
~DetItem~;A forbidden formula;;;;;;;;;
~DetItem~;A missing earring;;;;;;;;;
~DetItem~;A stolen memory core;;;;;;;;;
~DetItem~;Seventeen million credits;;;;;;;;;
~DetItem~;A dead cat;;;;;;;;;
~DetItem~;The key to an abandoned house;;;;;;;;;
~DetItem~;A crashed space ship, eighty millon kilometers from the nearest planet.;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~DetHeroName~;~RandDetAuthor~2;~RandDetAuthor~3;~RandDetAuthor~4;;;;;;;
~DetHeroName~;~RandDetAuthor~5;~RandDetAuthor~6;~RandDetAuthor~7;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;Detective
